CpG	Feature	P.Value	adj.P.Val	B	Distance	NearestGeneSymbol
cg19572487	GB_SHO	4.51E-19	5.59E-15	30.79312	1550	RARA
cg07251887	PP_NC	6.30E-19	7.58E-15	30.48966	835	SMIM6
cg04885881	DP_SHE	6.97E-19	8.16E-15	30.39746	3026	SRM
cg15159987	GB_SHE	2.64E-18	3.00E-14	29.1925	4063	F2RL3
cg23576855	GB_SHO	9.53E-18	1.06E-13	28.0277	47734	AHRR
cg11207515	GB_NC	2.47E-17	2.67E-13	27.16599	171006	MIR548F4
cg17619755	GB_SHE	3.21E-17	3.38E-13	26.9285	3081	VARS
cg11660018	PP_SHO	4.45E-17	4.58E-13	26.63127	574	PRSS23
cg11902777	GB_SHO	5.40E-17	5.42E-13	26.4562	46140	AHRR
cg01692968	DP_SHO	6.42E-17	6.29E-13	26.30037	1578	SLC44A1
cg07826859	PP_NC	2.62E-16	2.51E-12	25.02678	1381	MYO1G
cg23079012	GB_NC	3.42E-16	3.20E-12	24.78479	124837	LINC00299
cg19859270	GB_NC	1.87E-15	1.71E-11	23.24995	550	GPR15
cg00310412	GB_SHO	1.91E-15	1.72E-11	23.22663	1081	SEMA7A
cg12876356	GB_CGI	2.48E-15	2.18E-11	22.9928	2529	GFI1
cg07339236	GB_NC	3.11E-15	2.68E-11	22.7864	1550	ATP9A
cg12075928	GB_NC	3.72E-15	3.14E-11	22.62487	9366	PTK2
cg19254163	PP_SHE	6.44E-15	5.33E-11	22.12796	337	PTGDR2
cg11554391	GB_CGI	1.02E-14	8.21E-11	21.71332	1380	AHRR
cg23771366	PP_SHO	1.03E-14	8.21E-11	21.70164	491	PRSS23
cg04018738	GB_SHE	1.83E-14	1.43E-10	21.18334	3094	VARS
cg19089201	GB_CGI	3.17E-14	2.43E-10	20.68655	12537	MYO1G
cg00073090	DP_CGI	4.11E-14	3.09E-10	20.45282	3386	CIRBP
cg02583484	GB_SHE	1.60E-13	1.17E-09	19.22583	1428	HNRNPA1
cg14580211	GB_SHE	1.61E-13	1.17E-09	19.21877	3790	SMIM3
cg27332104	IG_NC	1.69E-13	1.21E-09	19.17304	18809	BCL2L10
cg03991871	GB_SHO	3.43E-13	2.41E-09	18.5342	45744	AHRR
cg12806681	GB_SHO	4.72E-13	3.26E-09	18.24745	45691	AHRR
cg23594345	IG_SHE	7.72E-13	5.25E-09	17.8016	26371	KIAA0125
cg20295214	GB_SHE	8.28E-13	5.54E-09	17.73917	2510	AVPR1B
cg21913886	GB_SHE	1.04E-12	6.84E-09	17.53385	5116	TMEM51
cg01208318	IG_SHE	1.16E-12	7.49E-09	17.43798	26326	KIAA0125
cg24838345	GB_SHE	1.19E-12	7.60E-09	17.41121	3375	MTSS1
cg17924476	GB_SHO	1.34E-12	8.42E-09	17.30554	1091	AHRR
cg02451831	PP_NC	2.25E-12	1.39E-08	16.83642	344	KIAA0087
cg18146737	GB_CGI	3.10E-12	1.89E-08	16.54853	2654	GFI1
cg18316974	GB_CGI	3.25E-12	1.96E-08	16.50481	2319	GFI1
cg21393163	DP_NC	3.91E-12	2.32E-08	16.33775	9429	TNFRSF1B
cg04387347	GB_CGI	4.29E-12	2.51E-08	16.25413	1860	MIR5189
cg06819357	GB_NC	4.77E-12	2.76E-08	16.158	46715	ANKRD9
cg22891595	IG_NC	4.86E-12	2.77E-08	16.14208	141769	DPPA2P3
cg11028075	PP_NC	5.08E-12	2.85E-08	16.10223	24	SORBS1
cg26361535	GB_NC	5.19E-12	2.88E-08	16.08181	47014	ZC3H3
cg00501876	GB_SHO	6.06E-12	3.30E-08	15.94308	1849	CSRNP1
cg05460226	GB_NC	6.26E-12	3.30E-08	15.91292	11553	PIK3R5
cg21446172	GB_SHO	6.23E-12	3.30E-08	15.91786	108200	CAPN8
cg22851561	GB_NC	6.22E-12	3.30E-08	15.91861	7224	ELMSAN1
cg26963277	PP_SHO	1.60E-11	8.32E-08	15.06759	1178	KCNQ1OT1
cg25560398	PP_CGI	1.67E-11	8.58E-08	15.02932	415	ECEL1P2
cg10420527	GB_NC	2.34E-11	1.19E-07	14.72638	58396	LRP5
cg04180046	GB_CGI	2.45E-11	1.23E-07	14.68287	12088	MYO1G
cg10062919	GB_SHO	2.88E-11	1.43E-07	14.53884	5530	RARA
cg23480021	IG_SHO	3.15E-11	1.54E-07	14.45606	1375	ZNF385D
cg06009448	GB_SHE	3.41E-11	1.65E-07	14.38438	5084	GPR146
cg24771152	GB_SHE	3.71E-11	1.78E-07	14.3094	3102	VARS
cg21473814	GB_CGI	4.34E-11	2.05E-07	14.16841	15404	CRTC1
cg09109520	PP_NC	4.56E-11	2.13E-07	14.1237	50	ADGRG1
cg01899089	GB_SHO	5.01E-11	2.30E-07	14.0392	47266	AHRR
cg08149865	PP_SHO	5.02E-11	2.30E-07	14.03702	774	DMTN
cg04368724	GB_SHE	5.44E-11	2.46E-07	13.96522	3117	VARS
cg01513913	IG_NC	5.52E-11	2.48E-07	13.95063	26820	KIAA0125
cg05875421	GB_NC	5.72E-11	2.54E-07	13.92012	899	GPR68
cg23126342	GB_SHE	6.27E-11	2.75E-07	13.83595	3341	PCDH9
cg16611234	DP_CGI	9.89E-11	4.30E-07	13.42651	4581	FAM111B
cg26718213	GB_CGI	1.22E-10	5.23E-07	13.23976	26713	SNED1
cg07178945	PP_NC	1.35E-10	5.75E-07	13.14531	92	FGF23
cg15806304	PP_SHO	1.54E-10	6.47E-07	13.03012	499	SLC18A2
cg16547579	GB_NC	1.73E-10	7.21E-07	12.92356	27810	SLC23A2
cg13185177	PP_SHO	2.11E-10	8.66E-07	12.74475	108	GP5
cg15417641	GB_NC	2.12E-10	8.66E-07	12.74145	223	CACNA1D
cg20731257	IG_NC	2.62E-10	1.06E-06	12.54873	45775	MIR4435-1
cg12689529	GB_NC	2.81E-10	1.13E-06	12.48741	58753	ST3GAL4
cg04956244	GB_NC	3.33E-10	1.32E-06	12.3336	9351	GJD3
cg15693572	IG_SHO	4.25E-10	1.65E-06	12.11375	1736	ZNF385D
cg22635676	GB_CGI	4.22E-10	1.65E-06	12.12207	26822	SNED1
cg24556382	GB_NC	4.26E-10	1.65E-06	12.11235	39802	GALNT7
cg23110422	GB_SHE	4.33E-10	1.66E-06	12.09751	4317	ETS2
cg04716530	GB_CGI	5.06E-10	1.92E-06	11.95859	1700	ITGAL
cg10179300	GB_SHE	6.40E-10	2.41E-06	11.74618	3788	TRIO
cg17372101	GB_NC	6.72E-10	2.51E-06	11.70293	245759	MIR548I4
cg23230929	IG_NC	7.10E-10	2.62E-06	11.65408	45725	MIR4435-1
cg18642234	GB_SHO	7.27E-10	2.66E-06	11.63233	1167	GPX1
cg01207684	GB_NC	8.58E-10	3.12E-06	11.48337	63017	ADCY9
cg26271591	GB_SHE	8.80E-10	3.17E-06	11.46099	2659	NFE2L2
cg19798735	PP_NC	8.96E-10	3.20E-06	11.44397	255	LRRN3
cg03274391	IG_SHO	9.21E-10	3.26E-06	11.41992	889	ZNF385D
cg00336149	GB_NC	1.11E-09	3.90E-06	11.25175	169	CACNA1D
cg05396397	PP_NC	1.17E-09	4.09E-06	11.20102	323	NPPA
cg14624207	GB_NC	1.27E-09	4.37E-06	11.13381	62089	LRP5
cg01062937	GB_CGI	1.56E-09	5.33E-06	10.94847	1933	MIR5189
cg19266329	DS_NC	1.58E-09	5.35E-06	10.93752	14257	POLR3GL
cg13039251	GB_NC	1.61E-09	5.42E-06	10.91959	80677	PDZD2
cg23973524	GB_CGI	1.78E-09	5.94E-06	10.82935	15358	CRTC1
cg16503724	GB_NC	1.84E-09	6.09E-06	10.80056	155978	MIR3714
cg26707709	GB_CGI	2.10E-09	6.90E-06	10.68162	27037	SNED1
cg21121843	GB_NC	2.21E-09	7.21E-06	10.63545	46783	MSANTD1
cg09837977	PP_NC	2.38E-09	7.73E-06	10.56582	138	LRRN3
cg05673882	GB_NC	2.41E-09	7.76E-06	10.55502	19866	POLK
cg13500388	PP_SHO	2.54E-09	8.12E-06	10.5072	913	CBFB
cg02610360	GB_SHO	2.60E-09	8.18E-06	10.48764	1682	TMEM136
cg13074055	IG_NC	2.59E-09	8.18E-06	10.49069	26772	KIAA0125
cg00295485	PP_NC	2.72E-09	8.48E-06	10.449	383	UXS1
cg17907003	DS_NC	2.83E-09	8.76E-06	10.41317	10956	CD101
cg01127300	DS_SHE	2.92E-09	8.99E-06	10.3829	5253	MAFF
cg13937905	GB_SHO	2.97E-09	9.08E-06	10.36744	1644	RARG
cg11412468	IG_NC	3.15E-09	9.55E-06	10.31623	84399	FUNDC2P2
cg05655806	PP_NC	3.24E-09	9.76E-06	10.29034	168	CD96
cg10965178	PP_SHE	3.72E-09	1.11E-05	10.16681	185	TIE1
cg06433467	IG_NC	4.42E-09	1.30E-05	10.01203	141559	PIK3R1
cg23681440	IG_NC	4.42E-09	1.30E-05	10.01126	163316	GPR12
cg26850624	GB_NC	4.68E-09	1.37E-05	9.961466	2579	AHRR
cg11231349	GB_NC	5.08E-09	1.48E-05	9.887811	11074	NOS1AP
cg01257799	PP_NC	5.26E-09	1.52E-05	9.856574	997	CXCR5
cg24134897	GB_SHO	6.01E-09	1.72E-05	9.736919	15223	TSPAN4
cg06321596	GB_NC	6.11E-09	1.74E-05	9.721216	1776	XYLT1
cg01731783	GB_NC	6.36E-09	1.80E-05	9.686351	4829	ELMSAN1
cg16178855	GB_NC	6.61E-09	1.86E-05	9.651076	4298	PMEPA1
cg24049493	PP_SHO	6.85E-09	1.91E-05	9.618657	1444	HIVEP3
cg06271237	GB_NC	7.45E-09	2.05E-05	9.543984	19176	PLAGL1
cg08899667	GB_SHE	7.44E-09	2.05E-05	9.545587	2655	VARS
cg13184736	PP_SHO	7.59E-09	2.08E-05	9.527079	253	GNG12
cg26529655	GB_SHE	7.98E-09	2.17E-05	9.482437	3335	AHRR
cg06635952	GB_NC	9.59E-09	2.59E-05	9.317878	30947	GMCL1
cg01763916	GB_NC	9.96E-09	2.67E-05	9.283796	8896	SMAP2
cg11183935	GB_NC	1.07E-08	2.84E-05	9.223382	23226	TBCD
cg06672250	PP_SHO	1.15E-08	3.06E-05	9.152585	781	DMTN
cg24389054	GB_SHO	1.16E-08	3.06E-05	9.147393	2281	HOXA7
cg20146909	GB_SHE	1.29E-08	3.39E-05	9.049796	2130	LRRC8D
cg16145216	PP_SHO	1.32E-08	3.44E-05	9.0299	1165	HIVEP3
cg05194346	IG_NC	1.42E-08	3.67E-05	8.965943	114564	ALDH1A3
cg07324245	PP_SHO	1.48E-08	3.80E-05	8.930808	706	SEPT9
cg10717312	GB_CGI	1.85E-08	4.72E-05	8.731271	26549	SNED1
cg07123182	PP_SHO	2.03E-08	5.17E-05	8.644328	1162	KCNQ1OT1
cg10255761	GB_SHO	2.22E-08	5.61E-05	8.564683	1010	KLHDC8B
cg24908166	GB_SHO	2.29E-08	5.74E-05	8.538593	13937	TERT
cg11556164	GB_NC	2.39E-08	5.95E-05	8.501658	7252	LRRN3
cg24996979	GB_SHE	2.41E-08	5.99E-05	8.491213	2093	MIR4505
cg07069636	DP_SHO	2.47E-08	6.09E-05	8.469798	505	FBRS
cg16969872	GB_NC	2.65E-08	6.49E-05	8.40804	11597	RBM26
cg13399816	PP_SHO	2.99E-08	7.29E-05	8.298912	312	GNG12
cg06595162	PP_NC	3.05E-08	7.38E-05	8.283239	141	LINC00114
cg13578465	GB_CGI	3.11E-08	7.49E-05	8.264989	6131	INF2
cg07180646	GB_SHO	3.22E-08	7.70E-05	8.234342	1311	TMEM51
cg09099830	GB_CGI	3.38E-08	8.00E-05	8.190732	1501	ITGAL
cg19925780	IG_NC	3.36E-08	8.00E-05	8.195756	17912	DPH5
cg09762515	GB_SHE	3.81E-08	8.92E-05	8.083273	95705	CUX1
cg11071448	GB_NC	3.79E-08	8.92E-05	8.088217	28114	SYT2
cg14977938	GB_SHE	3.84E-08	8.95E-05	8.075227	6937	ZFYVE21
cg15542713	PP_SHO	4.82E-08	0.000112	7.873977	1084	HIVEP3
cg12678834	PP_NC	4.93E-08	0.000114	7.852528	811	CXCR5
cg00542975	GB_NC	5.10E-08	0.000117	7.822248	14759	CLASP1
cg24090911	GB_NC	5.16E-08	0.000118	7.811386	20301	AHRR
cg18809126	PP_NC	5.61E-08	0.000126	7.737121	308	VGLL4
cg19713429	GB_SHO	5.60E-08	0.000126	7.738756	509	CAPZB
cg06885459	GB_SHO	5.85E-08	0.000131	7.699463	9239	MCF2L
cg24371574	IG_NC	7.05E-08	0.000157	7.533475	30550	GALNT2
cg05895711	IG_SHE	7.61E-08	0.000169	7.465715	205793	MIR4472-1
cg21188533	GB_NC	8.19E-08	0.000181	7.399637	101	CACNA1D
cg09022230	GB_SHO	8.30E-08	0.000182	7.388224	5445	TNRC18
cg12828729	IG_SHO	8.78E-08	0.000192	7.337466	35879	TIFAB
cg17038235	GB_NC	8.95E-08	0.000195	7.320022	9858	ERGIC1
cg15892280	GB_SHO	9.23E-08	0.0002	7.292603	2244	ETS2
cg16519923	GB_SHO	9.45E-08	0.000203	7.272182	1826	ITGAL
cg16398761	GB_NC	1.02E-07	0.000218	7.206523	5210	MIR4505
cg19748495	PP_SHO	1.14E-07	0.000242	7.106385	85	FAM63A
cg09006487	GB_NC	1.17E-07	0.000248	7.081106	70790	RYBP
cg16391678	GB_CGI	1.24E-07	0.000261	7.029798	1613	ITGAL
cg25305703	IG_NC	1.24E-07	0.000261	7.027526	49637	POU5F1B
cg27262054	GB_NC	1.29E-07	0.000268	6.997029	14747	ZFHX3
cg19653417	IG_SHO	1.37E-07	0.000285	6.939406	25930	NOC4L
cg19956914	GB_NC	1.40E-07	0.000289	6.923146	4158	PHKG1
cg20322193	GB_SHO	1.43E-07	0.000294	6.901455	1461	RALA
cg19719391	IG_NC	1.47E-07	0.000301	6.875602	72396	STIM2
cg18826637	IG_NC	1.50E-07	0.000305	6.85969	26549	GTDC1
cg01272202	GB_NC	1.56E-07	0.000317	6.823322	4008	MCC
cg25989526	DS_NC	1.69E-07	0.000341	6.75253	7462	LINC00462
cg18900812	PP_SHO	1.83E-07	0.000367	6.683626	327	CDKN1A
cg25421530	PP_NC	1.86E-07	0.000372	6.666307	49	SORBS1
cg22894329	GB_SHO	1.96E-07	0.00039	6.621062	27915	LPCAT1
cg20244340	GB_SHO	2.22E-07	0.000439	6.51096	698	SLC24A3
cg20460771	PP_NC	2.32E-07	0.000457	6.470825	1092	PTAFR
cg24540678	IG_SHO	2.38E-07	0.000467	6.448156	14625	ZNF395
cg15554421	GB_NC	2.43E-07	0.000473	6.431508	40786	FILIP1L
cg02639359	PP_SHE	2.48E-07	0.000478	6.411885	267	FCHO1
cg03547355	IG_NC	2.49E-07	0.000478	6.409335	55211	PSEN2
cg13092108	GB_SHO	2.47E-07	0.000478	6.415294	533	RPS6KA1
cg11094248	GB_SHE	2.55E-07	0.000489	6.386224	3058	RARA
cg20249566	PP_NC	2.60E-07	0.000496	6.368402	46	NWD1
cg08595501	GB_NC	2.67E-07	0.000506	6.346751	26618	IQGAP2
cg10453071	GB_NC	2.68E-07	0.000507	6.342342	263	DOK4
cg01899620	GB_SHO	2.80E-07	0.000526	6.304026	9545	MCF2L
cg01218206	GB_NC	2.94E-07	0.000552	6.258662	35014	SIK3
cg12423733	GB_NC	3.04E-07	0.000566	6.231171	1054	MAS1L
cg13751113	PP_NC	3.34E-07	0.000621	6.145213	1139	AMICA1
cg04359840	GB_NC	3.44E-07	0.000636	6.120163	1436	XYLT1
cg19838043	GB_SHO	3.51E-07	0.000647	6.101132	1728	ZFYVE21
cg21140898	DS_SHO	3.80E-07	0.000697	6.031333	6675	CDKN2C
cg19089328	GB_NC	3.96E-07	0.000723	5.994695	19869	NADSYN1
cg04517079	GB_NC	3.98E-07	0.000724	5.989518	20298	MIR4641
cg19696491	PP_SHO	4.28E-07	0.000774	5.925635	736	CHRNA5
cg06940720	DP_SHE	4.67E-07	0.00084	5.847407	2852	LPCAT1
cg25953130	GB_NC	4.68E-07	0.00084	5.846055	17488	MIR548AV
cg02532700	PP_NC	4.76E-07	0.000846	5.831296	373	NCF4
cg11739399	GB_NC	4.78E-07	0.000846	5.82842	11092	RASSF5
cg13127741	PP_SHO	4.74E-07	0.000846	5.834195	6	COMMD7
cg11730703	GB_SHO	4.83E-07	0.000852	5.817505	5981	INF2
cg06513247	PP_SHO	4.89E-07	0.000859	5.806804	47	SEPT9
cg13385220	GB_NC	5.10E-07	0.000888	5.770086	42396	LGR6
cg16255816	GB_SHO	5.08E-07	0.000888	5.772926	1085	HAP1
cg00931843	GB_NC	5.14E-07	0.000891	5.763203	15316	TIAM2
cg15963913	GB_SHO	5.28E-07	0.00091	5.739267	1763	ZFYVE21
cg23892690	PP_SHO	5.29E-07	0.00091	5.737584	528	BZW1
cg03295554	GB_SHE	5.51E-07	0.000944	5.700708	3244	ETS1
cg08101174	PP_NC	5.67E-07	0.000967	5.67568	271	MIR146B
cg00232092	GB_SHE	5.92E-07	0.001005	5.638022	16659	MIR589
cg26337070	GB_NC	5.98E-07	0.001012	5.628251	18963	ATOH8
cg20124610	GB_SHO	6.03E-07	0.001017	5.620586	593	CARS2
cg23205886	GB_SHO	6.14E-07	0.001031	5.604539	2324	SNHG4
cg03489965	PP_SHO	6.54E-07	0.00109	5.548584	44	RASL12
cg27151122	DP_SHE	6.53E-07	0.00109	5.550472	4011	ASIC1
cg06930757	GB_SHE	6.65E-07	0.001103	5.534051	3804	SHANK1
cg12524168	GB_NC	6.71E-07	0.001109	5.525914	17041	F2R
cg21681705	DP_SHE	7.22E-07	0.001188	5.461245	3285	ST6GAL2
cg04011474	IG_NC	7.36E-07	0.001208	5.443339	70155	PPP1CB
cg11093142	GB_NC	7.44E-07	0.001215	5.434734	32298	RCBTB2
cg09197783	GB_NC	7.51E-07	0.001222	5.425701	14810	PRG2
cg25491122	GB_SHE	8.39E-07	0.00136	5.327469	2915	PCDH9
cg20886049	PP_SHO	8.45E-07	0.001364	5.321216	187	TSKU
cg16736826	PP_NC	8.51E-07	0.001367	5.314332	1167	EDN2
cg20303561	GB_SHO	8.53E-07	0.001367	5.312459	1683	CCDC88C
cg05302489	GB_SHE	8.57E-07	0.001368	5.308351	3284	VARS
cg12593793	GB_NC	8.66E-07	0.001377	5.299504	10324	LMNA
cg10619342	PP_SHO	8.91E-07	0.001406	5.274399	21	RASL12
cg15848159	GB_NC	8.89E-07	0.001406	5.275815	26518	WDFY3
cg19372602	DP_NC	9.67E-07	0.00152	5.201671	3526	SEMA4A
cg15693483	GB_SHE	9.82E-07	0.001538	5.187833	5035	GPR146
cg11902728	GB_CGI	1.01E-06	0.001572	5.165118	3590	MAG
cg16071219	GB_NC	1.03E-06	0.001598	5.147304	1527	LPAR6
cg01435643	GB_SHO	1.06E-06	0.001643	5.11638	9191	MCF2L
cg06235438	GB_SHO	1.06E-06	0.001643	5.119286	1982	ITGAL
cg15074047	GB_NC	1.08E-06	0.001659	5.104286	10490	SDPR
cg20059928	DS_NC	1.09E-06	0.001669	5.095783	29972	SRP14-AS1
cg01744331	PP_SHO	1.17E-06	0.001777	5.033713	1129	KCNQ1OT1
cg07202214	PP_SHO	1.17E-06	0.001777	5.033869	36	LRRC32
cg14526039	GB_SHO	1.20E-06	0.001817	5.010887	1202	KLHDC8B
cg01836137	GB_CGI	1.23E-06	0.001856	4.988858	6288	INF2
cg08396193	GB_SHO	1.24E-06	0.001862	4.982937	2585	HOXA7
cg04158018	PP_NC	1.32E-06	0.00198	4.925064	1388	NFE2
cg17065712	GB_NC	1.33E-06	0.001982	4.920818	21812	ZMIZ1
cg16545743	PP_NC	1.34E-06	0.002002	4.909068	95	IL3
cg19713851	GB_SHO	1.41E-06	0.002091	4.867428	3245	ALPP
cg23351584	GB_SHO	1.48E-06	0.002184	4.82536	608	PRSS23
cg03190891	PP_NC	1.48E-06	0.002186	4.821597	234	SORBS1
cg03109660	GB_SHE	1.61E-06	0.002358	4.748084	3492	RELL1
cg19802390	IG_NC	1.61E-06	0.002358	4.750019	97867	ACTRT2
cg03715305	GB_SHE	1.63E-06	0.002375	4.735849	9307	NDUFA11
cg15420926	GB_NC	1.63E-06	0.002375	4.737389	12790	EFR3A
cg15995265	DP_NC	1.66E-06	0.002399	4.720969	5422	CHI3L2
cg16983588	GB_NC	1.66E-06	0.002399	4.720861	7352	PRDM10
cg11588197	GB_SHO	1.69E-06	0.002428	4.707242	709	ETS1
cg21756476	GB_NC	1.70E-06	0.002435	4.701537	263035	RORA
cg11229399	IG_NC	1.72E-06	0.002458	4.68999	13987	RNF187
cg16694480	GB_NC	1.81E-06	0.002582	4.643403	78413	CAPZB
cg16744741	PP_NC	1.87E-06	0.002649	4.617829	187	PRKG2
cg05508862	GB_NC	1.89E-06	0.002663	4.605685	22621	FAM83G
cg05529343	IG_SHO	1.89E-06	0.002663	4.606205	1997	ZNF385D
cg13980799	PP_SHO	1.90E-06	0.002663	4.604262	367	SLC18A2
cg19637821	GB_SHO	1.94E-06	0.002721	4.582326	53463	LRCOL1
cg19784428	PP_NC	1.99E-06	0.002773	4.559666	39	NWD1
cg26878655	GB_NC	1.99E-06	0.002773	4.559991	5230	RARA
cg03646329	PP_NC	2.00E-06	0.002775	4.555969	486	LPAR6
cg06846320	GB_NC	2.04E-06	0.00281	4.53901	16301	SMAD3
cg24287110	GB_SHO	2.03E-06	0.00281	4.541412	2784	KLF6
cg23781467	GB_SHE	2.11E-06	0.002893	4.510273	3477	VARS
cg20997268	PP_NC	2.15E-06	0.00294	4.493133	354	CREB5
cg03937290	IG_SHO	2.25E-06	0.003071	4.451851	36032	WASF2
cg14179389	GB_CGI	2.27E-06	0.003086	4.444551	1393	GFI1
cg01244006	PP_NC	2.29E-06	0.003087	4.43858	605	SCNN1A
cg09796170	PP_NC	2.28E-06	0.003087	4.438976	1343	TTC24
cg11555067	GB_NC	2.35E-06	0.003164	4.413864	20028	INPP4A
cg09607043	IG_NC	2.38E-06	0.003195	4.402587	27307	NA
cg00666749	PP_SHO	2.44E-06	0.003269	4.379523	1395	LATS2
cg22876908	PP_SHO	2.46E-06	0.003281	4.373368	202	DGKA
cg19053889	GB_SHO	2.49E-06	0.003313	4.361955	1561	GPR146
cg10375884	DP_SHE	2.53E-06	0.003355	4.347884	2260	IFNAR2
cg21091547	PP_SHO	2.60E-06	0.003441	4.322766	86	CDKN1A
cg11390978	GB_CGI	2.62E-06	0.003444	4.319268	1140	SIN3B
cg04640972	IG_NC	2.65E-06	0.003481	4.306925	276854	GATA3
cg02013841	DP_NC	2.69E-06	0.003504	4.295676	4729	LINC00462
cg05897963	GB_SHO	2.68E-06	0.003504	4.297926	1551	PLEKHF1
cg19344626	PP_NC	2.75E-06	0.003583	4.273124	36	NWD1
cg14099685	PP_NC	2.80E-06	0.003624	4.257994	527	CELF1
cg23401251	GB_NC	2.80E-06	0.003624	4.25771	6875	IFT172
cg15903032	DS_CGI	2.97E-06	0.003827	4.206781	4914	NKX2-3
cg03004371	GB_SHE	3.02E-06	0.003876	4.192801	3796	ALDH1A3
cg26615176	PP_SHE	3.08E-06	0.003942	4.175059	273	SLC25A45
cg15727507	GB_SHO	3.15E-06	0.004024	4.154351	16710	B3GNTL1
cg00472758	GB_SHE	3.20E-06	0.004071	4.14133	4580	TBC1D24
cg07090714	IG_NC	3.22E-06	0.004092	4.134051	207213	LY86
cg25503804	PP_NC	3.24E-06	0.004096	4.130672	909	F2
cg22327175	GB_SHO	3.26E-06	0.004115	4.123921	1021	SORL1
cg01097768	GB_NC	3.30E-06	0.004145	4.113742	42179	AHRR
cg14548802	GB_NC	3.30E-06	0.004145	4.112181	65833	MIR3689C
cg21010646	PP_NC	3.32E-06	0.00415	4.1085	1316	TTC24
cg26242531	GB_SHE	3.38E-06	0.004212	4.092685	7088	ZFYVE21
cg14389122	GB_NC	3.40E-06	0.004223	4.087725	29889	CLK3
cg25730428	GB_NC	3.43E-06	0.004252	4.079177	922	MAS1L
cg13683194	GB_NC	3.62E-06	0.004468	4.032636	11776	TMEM246
cg14270346	GB_NC	3.74E-06	0.004603	4.003721	43132	SHB
cg08866634	GB_SHO	3.78E-06	0.004645	3.99317	2081	RNF44
cg22162638	IG_NC	3.81E-06	0.004673	3.985315	45877	FMN1
cg10691866	GB_NC	3.85E-06	0.0047	3.977531	48111	LINC00174
cg07166409	GB_SHO	3.87E-06	0.004711	3.972885	1389	SEMA4C
cg05957567	GB_NC	3.91E-06	0.004748	3.963492	7366	BCL7A
cg23021168	PP_SHO	4.12E-06	0.004993	3.916459	388	PAM
cg09557991	GB_SHO	4.25E-06	0.005134	3.889314	866	TNFRSF1B
cg11076487	GB_NC	4.30E-06	0.005182	3.878538	12171	SORBS2
cg04973995	IG_CGI	4.39E-06	0.005273	3.860566	24299	DDIT4
cg12856965	GB_SHE	4.46E-06	0.005335	3.847733	9956	CROCC
cg11253886	DP_NC	4.58E-06	0.005467	3.823643	4136	LINC01118
cg26099045	IG_NC	4.76E-06	0.005669	3.789137	33562	PELI1
