Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ADA		ENSG00000196839	Adenosine deaminase	20	44619522-44652233	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001399, CAB004307, HPA023884	Enhanced		Supported	Plasma membrane<br>Cytosol	Renal cancer:2.94e-14 (unfavourable), Endometrial cancer:1.23e-7 (unfavourable), Liver cancer:6.77e-5 (unfavourable), Lung cancer:2.20e-4 (unfavourable)	Expressed in all	Tissue enriched	13	duodenum: 487.7	lymph node: 36.5	Cell line enriched	9	MOLT-4: 1479.5
ADH1A	ADH1	ENSG00000187758	Alcohol dehydrogenase 1A (class I), alpha polypeptide	4	99276367-99291028	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB009562, HPA047814, HPA060902	Enhanced		Approved	Plasma membrane<br>Cytosol	Liver cancer:2.38e-4 (favourable)	Tissue enriched	Tissue enriched	135	liver: 1367.7	gallbladder: 10.1	Cell line enhanced		ASC diff: 3.7
ADH1B	ADH2	ENSG00000196616	Alcohol dehydrogenase 1B (class I), beta polypeptide	4	99304964-99352760	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA047814, HPA060902	Supported		Approved	Plasma membrane<br>Cytosol	Renal cancer:7.87e-4 (unfavourable)	Tissue enriched	Group enriched	6	adipose tissue: 1624.6;liver: 3000.2	lung: 388.5	Cell line enriched	7	ASC diff: 4511.9
ADH1C	ADH3	ENSG00000248144	Alcohol dehydrogenase 1C (class I), gamma polypeptide	4	99336492-99353027	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA047814, HPA060902	Supported		Supported	Plasma membrane<br>Cytosol	Lung cancer:2.99e-4 (favourable), Liver cancer:4.55e-4 (favourable)	Tissue enriched	Tissue enhanced		duodenum: 508.1;liver: 888.0;stomach: 477.4	colon: 276.3	Cell line enhanced		ASC TERT1: 2.5;HSkMC: 7.7
ADK	AK	ENSG00000156110	Adenosine kinase	10	74151185-74709303	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB032876, HPA038391, HPA038409	Approved		Supported	Nucleoplasm<br>Cytosol	Head and neck cancer:1.93e-4 (unfavourable), Liver cancer:9.91e-4 (favourable)	Expressed in all	Expressed in all			liver: 77.6	Expressed in all		
ADORA1	RDC7	ENSG00000163485	Adenosine A1 receptor	1	203090654-203167405	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA044383			Supported	Plasma membrane		Tissue enhanced	Tissue enhanced		cerebral cortex: 50.2;testis: 25.4	parathyroid gland: 18.9	Cell line enhanced		CACO-2: 33.2;RH-30: 62.4;RPTEC TERT1: 23.7;SK-BR-3: 26.3
ADORA2A	ADORA2, RDC8	ENSG00000128271	Adenosine A2a receptor	22	24417879-24442360	Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB001943, HPA065566, HPA075997	Enhanced	Supported				Not detected	Tissue enhanced		bone marrow: 24.6;lymph node: 22.7	appendix: 17.8	Cell line enhanced		Karpas-707: 36.8;SK-BR-3: 55.0;U-266/70: 38.8;U-266/84: 50.0;U-698: 37.2
ADORA2B		ENSG00000170425	Adenosine A2b receptor	17	15944917-15975746	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA073747			Uncertain	Cytosol		Mixed	Mixed			colon: 8.5	Cell line enhanced		HMC-1: 142.9
ADORA3	AD026	ENSG00000282608	Adenosine A3 receptor	1	111499429-111503760	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level								Mixed			adrenal gland: 18.4	Cell line enriched	12	HMC-1: 89.3
ADRA1A	ADRA1C, ADRA1L1	ENSG00000120907	Adrenoceptor alpha 1A	8	26748150-26867273	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA029678, HPA029679	Approved					Tissue enhanced	Tissue enhanced		adipose tissue: 22.6;liver: 31.6;prostate: 20.8	seminal vesicle: 19.1	Not detected		
ADRA1B		ENSG00000170214	Adrenoceptor alpha 1B	5	159916783-159972544	Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA074416			Supported	Plasma membrane	Renal cancer:1.40e-6 (unfavourable), Thyroid cancer:3.19e-5 (favourable), Endometrial cancer:6.00e-5 (unfavourable), Ovarian cancer:2.67e-4 (favourable), Glioma:6.07e-4 (unfavourable)	Mixed	Tissue enhanced		cerebral cortex: 14.8;spleen: 17.0	ovary: 4.8	Cell line enhanced		EFO-21: 12.8;TIME: 10.9;U-2 OS: 9.6
ADRA1D	ADRA1, ADRA1A, ADRA1R	ENSG00000171873	Adrenoceptor alpha 1D	20	4220631-4249074	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA038789	Uncertain					Mixed	Tissue enhanced		cervix, uterine: 4.3;prostate: 4.5	seminal vesicle: 2.6	Cell line enhanced		BJ: 6.7;CAPAN-2: 3.1;fHDF/TERT166: 3.7
ADRA2A	ADRA2, ADRA2R, ADRAR	ENSG00000150594	Adrenoceptor alpha 2A	10	111077163-111080907	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level						Endometrial cancer:8.06e-4 (favourable)	Expressed in all	Mixed			cervix, uterine: 33.2	Cell line enhanced		ASC diff: 7.4;ASC TERT1: 9.3;HEL: 18.7;HeLa: 7.4;HSkMC: 23.3
ADRA2C	ADRA2L2, ADRA2RL2, ADRARL2	ENSG00000184160	Adrenoceptor alpha 2C	4	3766348-3768526	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at transcript level	HPA057688	Uncertain					Mixed	Tissue enhanced		cervix, uterine: 20.9;endometrium: 26.0;seminal vesicle: 26.8	fallopian tube: 7.9	Cell line enhanced		Hep G2: 9.0;MCF7: 16.8;SCLC-21H: 9.5;SH-SY5Y: 10.3
ADRB1	ADRB1R	ENSG00000043591	Adrenoceptor beta 1	10	114044056-114046908	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA067972	Enhanced					Tissue enriched	Tissue enhanced		placenta: 45.4	heart muscle: 10.8	Cell line enhanced		HDLM-2: 6.7;THP-1: 3.2;TIME: 5.0
ADRB2	ADRB2R, ADRBR, B2AR, BAR	ENSG00000169252	Adrenoceptor beta 2	5	148825245-148828687	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA003431, HPA075322	Uncertain		Uncertain	Cytosol	Renal cancer:3.15e-9 (favourable)	Mixed	Mixed			lung: 16.3	Cell line enhanced		hTCEpi: 28.8;hTERT-HME1: 31.6
ADRB3		ENSG00000188778	Adrenoceptor beta 3	8	37962991-37966965	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA061969	Uncertain					Not detected	Tissue enhanced		ovary: 8.9;placenta: 3.7	gallbladder: 2.2	Not detected		
AGTR1	AG2S, AGTR1A, AGTR1B, AT1, AT1B, AT2R1, AT2R1A, AT2R1B, HAT1R	ENSG00000144891	Angiotensin II receptor type 1	3	148697784-148743008	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA003596	Enhanced		Uncertain	Vesicles		Group enriched	Tissue enhanced		placenta: 214.0	liver: 50.9	Cell line enhanced		ASC diff: 127.9;BJ hTERT+ SV40 Large T+: 33.9;HBF TERT88: 54.9;HSkMC: 24.7
AKR1C2	BABP, DD, DD2, DDH2, HAKRD, MCDR2, TDD	ENSG00000151632	Aldo-keto reductase family 1 member C2	10	4987400-5018031	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB047304, HPA068265	Enhanced		Approved	Nucleus<br>Nucleoli fibrillar center<br>Endoplasmic reticulum<br>Cytosol		Group enriched	Group enriched	5	adipose tissue: 330.4;breast: 105.2;esophagus: 94.9;gallbladder: 151.9;liver: 161.4;stomach: 126.5;urinary bladder: 143.0	duodenum: 29.8	Cell line enhanced		A549: 1864.0;ASC diff: 1674.9;Hep G2: 2661.0;RT4: 940.6
AKR1D1	SRD5B1	ENSG00000122787	Aldo-keto reductase family 1 member D1	7	138002324-138117986	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA057002	Enhanced		Approved	Nucleoplasm<br>Cytosol	Liver cancer:9.91e-5 (favourable)	Tissue enriched	Tissue enriched	31	liver: 229.4	breast: 7.2	Cell line enriched	16	Hep G2: 8.6
ALAD	ALADH, PBGS	ENSG00000148218	Aminolevulinate dehydratase	9	113386317-113401333	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA021023, HPA022124	Enhanced				Colorectal cancer:7.33e-5 (unfavourable), Liver cancer:8.80e-5 (favourable), Renal cancer:1.65e-4 (favourable), Endometrial cancer:5.64e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 147.1	Expressed in all		
ALDH2		ENSG00000111275	Aldehyde dehydrogenase 2 family (mitochondrial)	12	111766887-111817529	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA051065	Approved				Liver cancer:3.95e-7 (favourable), Renal cancer:5.24e-6 (favourable), Endometrial cancer:2.63e-4 (favourable), Urothelial cancer:7.71e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 441.5	Cell line enhanced		HHSteC: 81.5;SK-BR-3: 150.4
ALK	CD246	ENSG00000171094	Anaplastic lymphoma receptor tyrosine kinase	2	29192774-29921566	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA010694	Approved		Supported	Plasma membrane		Group enriched	Tissue enhanced		cerebral cortex: 2.7;testis: 2.0	adrenal gland: 0.5	Cell line enriched	6	SH-SY5Y: 28.3
ALOX5	5-LOX	ENSG00000012779	Arachidonate 5-lipoxygenase	10	45374176-45446119	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA071285	Enhanced		Supported	Nucleoplasm	Renal cancer:1.80e-5 (unfavourable), Urothelial cancer:7.18e-4 (favourable)	Expressed in all	Tissue enhanced		lung: 41.3	bone marrow: 28.8	Cell line enhanced		BEWO: 10.4;Daudi: 22.8;HMC-1: 20.7;RT4: 14.0;U-266/70: 11.3
ALPPL2		ENSG00000163286	Alkaline phosphatase, placental like 2	2	232406843-232410714	Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB020698, HPA038764, HPA038765, HPA051699	Supported		Approved	Plasma membrane		Tissue enhanced	Tissue enhanced		fallopian tube: 1.5	lung: 0.7	Group enriched	29	BEWO: 6.5;CAPAN-2: 29.9;HaCaT: 22.2
AMY2A	AMY2	ENSG00000243480	Amylase, alpha 2A (pancreatic)	1	103616811-103625780	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	HPA045394, HPA045399, CAB045960, HPA046980	Enhanced					Tissue enriched	Tissue enriched	313	pancreas: 31329.4	ovary: 99.9	Not detected		
ANO1	DOG1, FLJ10261, ORAOV2, TAOS2, TMEM16A	ENSG00000131620	Anoctamin 1	11	70078302-70189528	FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA032148, HPA057356	Enhanced				Renal cancer:4.09e-6 (unfavourable), Endometrial cancer:4.58e-6 (favourable), Head and neck cancer:7.28e-5 (unfavourable), Pancreatic cancer:1.70e-4 (unfavourable), Lung cancer:2.40e-4 (unfavourable)	Expressed in all	Tissue enhanced		epididymis: 220.9;seminal vesicle: 298.5	skin: 115.8	Group enriched	5	A-431: 121.8;CAPAN-2: 182.7;HaCaT: 224.5
ANXA1	ANX1, LPC1	ENSG00000135046	Annexin A1	9	73151757-73170393	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA011271, HPA011272, CAB013023, CAB035987, CAB058693	Enhanced		Enhanced	Nucleoplasm<br>Plasma membrane<br>Cytosol	Urothelial cancer:6.19e-6 (unfavourable), Thyroid cancer:4.57e-5 (favourable), Endometrial cancer:5.71e-5 (favourable)	Expressed in all	Tissue enriched	6	esophagus: 7548.8	tonsil: 1217.6	Mixed		
AOC3	HPAO, VAP-1, VAP1	ENSG00000131471	Amine oxidase, copper containing 3	17	42851184-42858130	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA000980, CAB025797	Enhanced		Approved	Golgi apparatus<br>Cytosol	Renal cancer:1.79e-5 (unfavourable), Colorectal cancer:3.68e-4 (unfavourable), Urothelial cancer:6.98e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 450.1	smooth muscle: 205.7	Cell line enriched	17	ASC diff: 210.1
APEX1	APE, APE-1, APEN, APEX, APX, HAP1, REF-1, REF1	ENSG00000100823	Apurinic/apyrimidinic endodeoxyribonuclease 1	14	20455191-20457772	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA000956, HPA002564, CAB004294, CAB047307	Enhanced		Enhanced	Nucleus	Liver cancer:7.82e-5 (unfavourable)	Expressed in all	Expressed in all			ovary: 176.5	Expressed in all		
APP	AD1	ENSG00000142192	Amyloid beta precursor protein	21	25880550-26171128	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB000157, HPA001462	Enhanced		Approved	Golgi apparatus<br>Vesicles	Renal cancer:2.79e-6 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 1203.4	Mixed		
AR	AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1	ENSG00000169083	Androgen receptor	X	67544032-67730619	Cancer-related genes, Disease related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB000001, HPA065701, CAB065764	Enhanced		Approved	Mitochondria	Renal cancer:1.03e-8 (favourable), Liver cancer:8.77e-4 (favourable)	Mixed	Mixed			fallopian tube: 42.3	Cell line enhanced		AF22: 15.6;HAP1: 21.1;LHCN-M2: 14.9;RH-30: 28.3
ASIC1	ACCN2, BNaC2, hBNaC2	ENSG00000110881	Acid sensing ion channel subunit 1	12	50057548-50083611	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA058870			Approved	Golgi apparatus<br>Plasma membrane		Tissue enhanced	Tissue enriched	10	cerebral cortex: 56.8	parathyroid gland: 5.7	Cell line enhanced		SH-SY5Y: 30.8
ATIC	AICARFT, IMPCHASE, PURH	ENSG00000138363	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2	215311817-215349773	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB013462, HPA021012	Supported		Enhanced	Plasma membrane<br>Cytosol	Liver cancer:1.99e-7 (unfavourable), Renal cancer:8.77e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 44.8	Expressed in all		
ATP1A1		ENSG00000163399	ATPase Na+/K+ transporting subunit alpha 1	1	116372668-116410261	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB018702, CAB069993	Enhanced				Renal cancer:8.98e-8 (favourable), Liver cancer:1.42e-4 (unfavourable), Urothelial cancer:4.01e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 2487.1	Expressed in all		
ATP2C1	ATP2C1A, BCPM, KIAA1347, PMR1, SPCA1	ENSG00000017260	ATPase secretory pathway Ca2+ transporting 1	3	130850595-131016712	Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB010207, HPA035116, HPA069684	Supported		Enhanced	Golgi apparatus	Liver cancer:5.06e-6 (unfavourable), Pancreatic cancer:1.52e-4 (unfavourable), Renal cancer:1.55e-4 (favourable)	Expressed in all	Expressed in all			prostate: 138.3	Expressed in all		
ATP4A	ATP6A	ENSG00000105675	ATPase H+/K+ transporting alpha subunit	19	35550043-35563658	Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039154	Enhanced					Tissue enriched	Tissue enriched	260	stomach: 557.9	pancreas: 2.1	Not detected		
ATP6V1B2	ATP6B2, HO57, VATB, Vma2, VPP3	ENSG00000147416	ATPase H+ transporting V1 subunit B2	8	20197367-20226819	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA008147	Enhanced		Supported	Vesicles	Renal cancer:8.41e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 304.2	Expressed in all		
AVPR1A	AVPR1	ENSG00000166148	Arginine vasopressin receptor 1A	12	63142759-63150942	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Evidence at protein level							Mixed	Tissue enhanced		adrenal gland: 77.8	adipose tissue: 20.0	Group enriched	8	ASC diff: 3.9;Karpas-707: 9.4;U-266/84: 6.8
AVPR1B	AVPR3	ENSG00000198049	Arginine vasopressin receptor 1B	1	206109692-206117699	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA075404	Supported					Tissue enhanced	Not detected			stomach: 0.3	Not detected		
AVPR2	DIR, DIR3, V2R	ENSG00000126895	Arginine vasopressin receptor 2	X	153902531-153907166	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046678	Approved					Mixed	Tissue enhanced		adipose tissue: 5.8	kidney: 2.8	Cell line enhanced		EFO-21: 3.0;SCLC-21H: 4.6;U-266/84: 2.7;U-698: 2.8
BCHE	CHE1, CHE2, E1	ENSG00000114200	Butyrylcholinesterase	3	165772904-165837472	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001560	Approved				Head and neck cancer:1.06e-4 (unfavourable)	Group enriched	Tissue enhanced		liver: 265.5	endometrium: 67.7	Cell line enriched	7	Karpas-707: 542.1
BCL2	Bcl-2, PPP1R50	ENSG00000171791	BCL2, apoptosis regulator	18	63123346-63320128	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB000003, HPA055295	Enhanced		Supported	Nucleoplasm<br>Nuclear membrane	Renal cancer:1.29e-8 (favourable), Cervical cancer:5.13e-5 (favourable), Thyroid cancer:2.47e-4 (unfavourable)	Expressed in all	Tissue enhanced		thyroid gland: 69.3	parathyroid gland: 35.3	Cell line enhanced		Karpas-707: 59.5;U-266/70: 217.8
BCR	ALL, BCR1, CML, D22S11, D22S662, PHL	ENSG00000186716	BCR, RhoGEF and GTPase activating protein	22	23179704-23318037	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB010421, CAB018545, HPA038337	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:9.15e-10 (favourable)	Expressed in all	Mixed			cerebral cortex: 47.0	Expressed in all		
BDKRB2	BK-2	ENSG00000168398	Bradykinin receptor B2	14	96204679-96244166	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA050841	Approved					Mixed	Mixed			gallbladder: 32.5	Cell line enhanced		ASC TERT1: 34.0;BJ hTERT+: 75.7;U-87 MG: 38.4
BGLAP	OCN	ENSG00000242252	Bone gamma-carboxyglutamate protein	1	156241962-156243321	FDA approved drug targets, Predicted secreted proteins	Evidence at protein level							Mixed	Mixed			skin: 2.1	Cell line enhanced		U-87 MG: 2.8
BLVRB	FLR, SDR43U1	ENSG00000090013	Biliverdin reductase B	19	40447789-40465840	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA041698, HPA041937	Enhanced		Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol	Pancreatic cancer:3.90e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 338.3	Cell line enhanced		A549: 442.0;K-562: 413.4
BRAF	BRAF1	ENSG00000157764	B-Raf proto-oncogene, serine/threonine kinase	7	140719327-140924764	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001328, CAB004552, HPA071048	Approved		Approved	Vesicles<br>Cytosol		Expressed in all	Expressed in all			testis: 41.8	Expressed in all		
BTK	AGMX1, ATK, IMD1, PSCTK1, XLA	ENSG00000010671	Bruton tyrosine kinase	X	101349447-101390796	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001198, HPA002028, CAB016689	Enhanced		Supported	Vesicles		Expressed in all	Tissue enhanced		lymph node: 65.2;tonsil: 70.8	spleen: 52.7	Cell line enhanced		Daudi: 147.2;HEL: 256.7;HMC-1: 868.2
C1R		ENSG00000159403	Complement C1r	12	7080209-7092607	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA001251, HPA001551	Uncertain		Uncertain	Nucleoplasm<br>Cytosol	Renal cancer:1.94e-14 (unfavourable)	Expressed in all	Expressed in all			liver: 1226.4	Cell line enhanced		ASC diff: 1273.8;ASC TERT1: 658.4;BJ hTERT+: 685.9;BJ hTERT+ SV40 Large T+ RasG12V: 496.0;HSkMC: 797.4
