537,ATP6AP1,ATPase H+ transporting accessory protein 1 [KO:K03662]
527,ATP6V0C,ATPase H+ transporting V0 subunit c [KO:K02155]
533,ATP6V0B,ATPase H+ transporting V0 subunit b [KO:K03661]
1513,CTSK,cathepsin K [KO:K01371] [EC:3.4.22.38]
54,ACP5,acid phosphatase 5, tartrate resistant [KO:K14379] [EC:3.1.3.2]
4312,MMP1,matrix metallopeptidase 1 [KO:K01388] [EC:3.4.24.7]
4314,MMP3,matrix metallopeptidase 3 [KO:K01394] [EC:3.4.24.17]
1514,CTSL,cathepsin L [KO:K01365] [EC:3.4.22.15]
1437,CSF2,colony stimulating factor 2 [KO:K05427]
6352,CCL5,C-C motif chemokine ligand 5 [KO:K12499]
6347,CCL2,C-C motif chemokine ligand 2 [KO:K14624]
6348,CCL3,C-C motif chemokine ligand 3 [KO:K05408]
6349,CCL3L1,C-C motif chemokine ligand 3 like 1 [KO:K05408]
414062,CCL3L3,C-C motif chemokine ligand 3 like 3 [KO:K05408]
6364,CCL20,C-C motif chemokine ligand 20 [KO:K14625]
2919,CXCL1,C-X-C motif chemokine ligand 1 [KO:K05505]
2920,CXCL2,C-X-C motif chemokine ligand 2 [KO:K05505]
2921,CXCL3,C-X-C motif chemokine ligand 3 [KO:K05505]
6374,CXCL5,C-X-C motif chemokine ligand 5 [KO:K05506]
6372,CXCL6,C-X-C motif chemokine ligand 6 [KO:K05506]
3576,CXCL8,C-X-C motif chemokine ligand 8 [KO:K10030]
6387,CXCL12,C-X-C motif chemokine ligand 12 [KO:K10031]
7422,VEGFA,vascular endothelial growth factor A [KO:K05448]
2321,FLT1,fms related tyrosine kinase 1 [KO:K05096] [EC:2.7.10.1]
284,ANGPT1,angiopoietin 1 [KO:K05465]
7010,TEK,TEK receptor tyrosine kinase [KO:K05121] [EC:2.7.10.1]
3458,IFNG,interferon gamma [KO:K04687]
